Field_ID,Species,LiveSeed_Per_Acre,Origin,
Antelope11025A,Heliopsis helianthoides,0.05,NE,
Antelope11025A,Brickellia eupatorioides,0.005,IA,
Antelope11025A,Froelichia floridana,0.01,NE,
Antelope11025A,Oenothera rhombipetala,0.005,NE,
Antelope11025A,Dalea leporina,0.03,NE,
Antelope11025A,Ratibida pinnata,0.02,IA,
Antelope11025A,Verbena stricta,0.01,IA,
Antelope11025A,Desmanthus illinoensis,0.02,IA,
Antelope11025A,Amorpha canescens,0.03,NE,
Antelope11025A,Helianthus maximiliani,0.02,NE,
Antelope11025A,Helianthus petiolaris,0.01,IA,
Antelope11025A,Potentilla arguta,0.005,WI,
Antelope11025A,Dalea purpurea,0.1,IA,
Antelope11025A,Trifolium pratense,0.25,OR,
Antelope11025A,Lespedeza capitata,0.02,IA,
Antelope11025A,Liatris squarrosa,0.01,NC,
Antelope11025A,Mimosa nuttallii,0.01,MO,
Antelope11025A,Penstemon grandiflorus,0.01,NE,
Antelope11025A,Chamaecrista fasciculata,0.2,IA,
Antelope11025A,Dalea villosa,0.01,NE,
Antelope11025A,Solidago rigida,0.01,IA,
Antelope11025A,Helianthus pauciflorus,0.01,ND,
Antelope11025A,Ratibida columnifera,0.04,OR,
Antelope11025A,Eupatorium altissimum,0.005,IA,
Antelope11025A,Rosa woodsii,0.01,UT,
Antelope11025A,Achillea millefolium,0.03,OR,
Antelope11025A,Monarda fistulosa,0.01,IA,
Antelope11025A,Dalea candida,0.1,MN,
Antelope11025B,Schizachyrium scoparium,0.2,NE,
Antelope11025B,Koeleria macrantha,0.03,WA,
Antelope11025B,Eragrostis trichodes ,0.04,KS,
Antelope11025B,Bouteloua curtipendula,0.1,NE,
Antelope11025B,Rosa arkansana,0.01,NE,
Antelope11025B,Helianthus mollis,0.01,IA,
Antelope11025B,Rudbeckia hirta,0.03,OR,
Antelope11025B,Astragalus canadensis,0.03,MN,
Antelope11025B,Oenothera biennis,0.02,IA,
Antelope11025B,Asclepias syriaca,0.01,NE,
Antelope11025B,Silphium laciniatum,0.01,IA,
Antelope11025B,Artemisia ludoviciana,0.01,WY,
Antelope11025B,Tradescantia occidentalis,0.01,IA,
Antelope11025B,Lotus unifoliolatus,0.01,FL,
Antelope11025B,Silphium integrifolium,0.01,IA,
Antelope11025B,Heliopsis helianthoides,0.05,NE,
Antelope11025B,Brickellia eupatorioides,0.005,IA,
Antelope11025B,Froelichia floridana,0.01,NE,
Antelope11025B,Oenothera rhombipetala,0.005,NE,
Antelope11025B,Dalea leporina,0.03,NE,
Antelope11025B,Ratibida pinnata,0.02,IA,
Antelope11025B,Verbena stricta,0.01,IA,
Antelope11025B,Desmanthus illinoensis,0.02,IA,
Antelope11025B,Amorpha canescens,0.03,NE,
Antelope11025B,Helianthus maximiliani,0.02,NE,
Antelope11025B,Helianthus petiolaris,0.01,IA,
Antelope11025B,Potentilla arguta,0.005,WI,
Antelope11025B,Dalea purpurea,0.1,IA,
Antelope11025B,Trifolium pratense,0.25,OR,
Antelope11025B,Lespedeza capitata,0.02,IA,
Antelope11025B,Liatris squarrosa,0.01,NC,
Antelope11025B,Mimosa nuttallii,0.01,MO,
Antelope11025B,Penstemon grandiflorus,0.01,NE,
Antelope11025B,Chamaecrista fasciculata,0.2,IA,
Antelope11025B,Dalea villosa,0.01,NE,
Antelope11025B,Solidago rigida,0.01,IA,
Antelope11025B,Helianthus pauciflorus,0.01,ND,
Antelope11025B,Ratibida columnifera,0.04,OR,
Antelope11025B,Eupatorium altissimum,0.005,IA,
Antelope11025B,Rosa woodsii,0.01,UT,
Antelope11025B,Achillea millefolium,0.03,OR,
